#{"t_start": 1606209163.4822845, "env_id": null}
r,l,t
319.088503,500,194.143412
346.52077,500,195.136116
333.092651,500,196.124287
254.894754,500,197.10764
333.082201,500,389.877134
364.429277,500,390.873659
376.683234,500,391.860576
343.730518,500,392.846529
324.070297,500,584.783109
393.057781,500,585.765377
405.171593,500,586.773797
322.636233,500,587.776711
391.774224,500,780.222416
265.172005,500,781.230359
402.919843,500,782.231921
403.164844,500,783.216627
379.027554,500,974.23734
338.534714,500,975.229671
390.445206,500,976.222447
370.695046,500,977.211258
349.869953,500,1168.980371
411.096431,500,1169.959874
404.693001,500,1170.951121
410.934427,500,1171.940955
364.456414,500,1361.837447
433.729596,500,1362.824409
404.736856,500,1363.816037
401.146654,500,1364.825673
279.267412,500,1558.077364
374.026472,500,1559.089145
332.600481,500,1560.085783
416.489678,500,1561.071796
349.195677,500,1753.356862
370.945734,500,1754.343282
396.646736,500,1755.333669
258.929524,500,1756.344064
347.187221,500,1949.260459
312.309365,500,1950.283418
340.902109,500,1951.302708
328.801822,500,1952.297994
412.612398,500,2144.108389
304.680655,500,2145.113951
280.345401,500,2146.11791
315.913452,500,2147.126983
391.118212,500,2338.176051
308.034002,500,2339.179695
369.704372,500,2340.169565
337.663115,500,2341.160054
329.767224,500,2532.604507
337.127846,500,2533.599359
337.33555,500,2534.623915
395.734873,500,2535.630954
309.273067,500,2727.412825
313.162406,500,2728.427554
368.982542,500,2729.435753
388.900667,500,2730.424053
367.903342,500,2921.113259
350.670962,500,2922.112716
360.811374,500,2923.101123
384.994415,500,2924.092362
395.762802,500,3115.079461
407.137798,500,3116.065336
400.13331,500,3117.05516
352.615005,500,3118.055735
391.313364,500,3308.41898
344.476242,500,3309.429005
330.366382,500,3310.432459
403.974167,500,3311.44171
415.818053,500,3502.845194
375.027108,500,3503.849719
282.649406,500,3504.861354
307.959053,500,3505.884882
369.460307,500,3697.736871
373.823644,500,3698.735558
317.959682,500,3699.761586
345.384098,500,3700.745816
321.373279,500,8594.995511
336.005042,500,8595.990449
362.553775,500,8596.984322
370.825487,500,8597.974823
392.006843,500,8790.55667
383.848076,500,8791.540797
305.645026,500,8792.549157
365.776851,500,8793.554131
368.81388,500,8984.474068
382.091601,500,8985.47229
418.720007,500,8986.470054
308.643198,500,8987.475915
355.751044,500,9178.507164
350.423542,500,9179.486431
349.153972,500,9180.473101
325.868993,500,9181.470476
398.576366,500,9373.13869
374.976928,500,9374.114821
399.650225,500,9375.129576
349.650717,500,9376.150671
359.048581,500,9565.549154
316.236362,500,9566.543397
353.391127,500,9567.527587
341.956302,500,9568.536609
297.037256,500,9758.846774
334.008261,500,9759.88811
313.833689,500,9760.95307
371.206187,500,9761.942723
331.283089,500,9951.222426
382.872499,500,9952.209378
416.499381,500,9953.187576
442.943311,500,9954.17439
302.950861,500,10143.549706
373.241972,500,10144.548948
399.649062,500,10145.533864
338.065834,500,10146.551219
290.688139,500,10336.358769
357.893106,500,10337.34465
347.971625,500,10338.350233
433.82804,500,10339.333004
331.549996,500,10528.842686
421.376452,500,10529.817142
317.535013,500,10530.807099
392.170097,500,10531.788271
317.096347,500,10722.890282
308.376856,500,10723.885679
389.577451,500,10724.872592
393.30241,500,10725.840237
295.939519,500,10916.116459
320.187869,500,10917.121299
418.81222,500,10918.099144
365.813717,500,10919.085809
350.389546,500,11108.641661
347.705095,500,11109.623297
315.263573,500,11110.615002
322.214713,500,11111.60423
325.253222,500,11300.631039
333.554173,500,11301.621326
396.958948,500,11302.591463
335.623458,500,11303.617711
440.876112,500,11492.471277
324.156104,500,11493.453909
398.871664,500,11494.432693
355.793536,500,11495.399478
411.923075,500,11683.431339
372.008802,500,11684.435956
319.539491,500,11685.434237
376.90802,500,11686.41446
348.809012,500,11875.347854
260.408398,500,11876.348754
308.911661,500,11877.334635
405.429596,500,11878.31724
421.296039,500,12066.938098
359.576822,500,12067.924687
392.142373,500,12068.900066
333.794746,500,12069.891708
395.773067,500,12259.323098
362.349774,500,12260.30476
322.161439,500,12261.290787
392.798768,500,12262.289598
370.859912,500,12451.010685
373.375545,500,12451.997182
427.5927,500,12452.975414
342.065773,500,12453.964743
386.955322,500,12642.418679
397.083925,500,12643.388962
372.82925,500,12644.374264
279.988609,500,12645.365206
342.493864,500,12834.271113
386.56649,500,12835.237585
419.73029,500,12836.223109
327.822282,500,12837.197093
363.679988,500,13026.188979
320.814393,500,13027.17254
426.17979,500,13028.146105
291.02747,500,13029.144688
420.393347,500,13218.892555
299.802292,500,13219.876897
332.059307,500,13220.878637
383.385638,500,13221.856125
354.759548,500,13410.910512
403.560595,500,13411.883776
307.677175,500,13412.88306
367.179219,500,13413.871219
388.481812,500,13604.10022
305.824998,500,13605.094571
305.871275,500,13606.10996
326.43993,500,13607.110633
327.047494,500,13796.448539
400.553331,500,13797.423271
346.710982,500,13798.461852
384.562541,500,13799.441535
338.983052,500,13989.257733
370.276243,500,13990.247083
287.525336,500,13991.255381
374.268842,500,13992.234037
325.483407,500,14181.866921
406.068514,500,14182.871848
361.811057,500,14183.858614
297.584681,500,14184.856911
313.522693,500,14375.581685
380.043572,500,14376.558954
403.600936,500,14377.540187
367.472468,500,14378.512641
326.837627,500,14568.234947
398.88665,500,14569.21454
385.872903,500,14570.191208
353.5489,500,14571.175704
438.811125,500,14761.942375
316.14906,500,14762.933851
288.020302,500,14763.929691
357.418724,500,14764.915978
297.74117,500,14954.487262
387.035068,500,14955.47313
302.820674,500,14956.4708
307.090632,500,14957.461539
354.548656,500,15148.005361
356.188416,500,15148.985326
416.24702,500,15149.962695
346.111256,500,15150.947546
420.843161,500,15341.955399
290.757456,500,15342.989434
345.110683,500,15343.968008
321.195541,500,15344.962825
380.797659,500,15536.030105
325.35462,500,15537.061686
373.293262,500,15538.07464
311.240282,500,15539.069121
296.637006,500,15730.276739
322.931435,500,15731.272283
356.228032,500,15732.304287
377.922369,500,15733.29014
418.814121,500,15924.183473
391.050532,500,15925.176794
295.47928,500,15926.183243
335.687439,500,15927.168264
360.953146,500,16118.410971
426.226395,500,16119.394936
383.139102,500,16120.392318
396.828907,500,16121.376419
356.017287,500,16311.573113
431.79568,500,16312.560093
343.901608,500,16313.566058
363.052143,500,16314.564637
384.990656,500,16504.273247
345.728656,500,16505.265148
399.311812,500,16506.265439
393.34082,500,16507.244632
414.19553,500,16696.867984
427.354279,500,16697.852853
405.207447,500,16698.856225
461.057054,500,16699.837528
341.913293,500,16890.553246
303.781576,500,16891.556382
357.948871,500,16892.563015
337.556983,500,16893.55925
395.716628,500,17084.370296
361.862597,500,17085.361627
349.683378,500,17086.385608
404.616255,500,17087.388195
415.53021,500,17278.057923
394.642296,500,17279.055092
346.342413,500,17280.086877
342.48225,500,17281.091205
367.834083,500,17472.612463
331.026462,500,17473.606994
393.406992,500,17474.607446
362.571374,500,17475.607506
352.503749,500,17666.931408
370.462365,500,17667.92978
361.726163,500,17668.972822
321.854365,500,17669.973949
331.452109,500,17861.643882
367.383049,500,17862.662039
374.67316,500,17863.67591
384.234772,500,17864.696342
332.995045,500,18056.423896
353.053815,500,18057.413256
386.710175,500,18058.42029
352.732424,500,18059.419724
328.080349,500,18250.312516
379.620403,500,18251.304751
375.294258,500,18252.30811
371.043357,500,18253.290635
351.509463,500,18444.271366
397.987355,500,18445.254878
359.318476,500,18446.256562
326.025174,500,18447.253507
370.209731,500,18638.73615
267.39943,500,18639.754699
345.958328,500,18640.760823
334.694264,500,18641.746681
330.094947,500,18832.283676
272.976809,500,18833.310708
413.01472,500,18834.300749
403.430022,500,18835.291226
337.382605,500,19025.287717
380.128619,500,19026.286287
311.972335,500,19027.313681
366.509092,500,19028.307001
349.275846,500,19219.481979
424.788452,500,19220.491175
318.843272,500,19221.49124
291.077815,500,19222.503848
297.830617,500,19414.491859
316.261419,500,19415.515284
377.418464,500,19416.516527
290.169045,500,19417.561487
250.598902,500,19609.722518
350.426003,500,19610.724215
375.163927,500,19611.725908
390.408965,500,19612.712009
354.608873,500,19803.544194
328.790618,500,19804.542711
382.547447,500,19805.548787
385.605178,500,19806.552219
381.290386,500,19997.894834
326.040944,500,19998.901384
293.687482,500,19999.904286
333.337489,500,20000.89567
337.351591,500,20191.834305
340.464735,500,20192.843811
262.60935,500,20193.872821
358.774961,500,20194.894647
351.018781,500,20386.769032
374.961406,500,20387.765606
359.407304,500,20388.774694
343.801456,500,20389.764427
365.076437,500,20586.605825
378.731621,500,20587.622183
330.946789,500,20588.64434
284.832999,500,20589.643533
431.701607,500,20780.92802
346.163996,500,20781.913141
388.475673,500,20782.92083
333.886222,500,20783.913722
392.726215,500,20975.24824
332.220476,500,20976.233534
305.808185,500,20977.26553
402.761687,500,20978.25566
393.104521,500,21170.10055
328.294412,500,21171.102857
357.914162,500,21172.145359
362.023824,500,21173.140538
349.295088,500,21364.479217
404.911818,500,21365.472554
359.432603,500,21366.469821
360.982882,500,21367.459549
310.0864,500,21559.546497
338.774935,500,21560.540269
392.674277,500,21561.526878
398.296529,500,21562.513283
347.740448,500,21755.389767
351.250462,500,21756.382231
