#{"t_start": 1606209065.221697, "env_id": null}
r,l,t
286.451215,500,3262.393647
339.364167,500,3466.49517
336.511779,500,3670.54961
363.623657,500,3874.869153
385.50233,500,8781.612519
369.575483,500,8985.47924
310.634618,500,8986.55196
295.877146,500,9187.389901
315.961981,500,9188.475398
329.504,500,9389.483393
322.063258,500,9390.52531
279.658326,500,9591.897582
308.305808,500,9592.959775
392.488238,500,9795.324637
287.659142,500,9796.390862
268.823905,500,9999.483657
301.472936,500,10000.55215
351.708712,500,10001.604203
321.964034,500,10205.122108
296.248888,500,10206.187236
355.519958,500,10207.242772
350.309503,500,10410.624537
321.588742,500,10411.690882
297.263729,500,10412.743386
313.63698,500,10615.27514
323.913779,500,10616.314792
405.277295,500,10617.377748
272.130268,500,10821.600767
260.025973,500,10822.663931
345.432303,500,10823.735906
406.4053,500,10824.796492
305.642985,500,11029.698549
284.417888,500,11030.797045
325.414443,500,11031.869198
380.46942,500,11032.931498
272.510542,500,11237.369336
274.507569,500,11238.421502
375.196452,500,11239.502165
414.001199,500,11240.522333
339.486967,500,11444.570643
243.481507,500,11445.627198
319.023042,500,11446.665191
383.212826,500,11447.721134
312.879739,500,11650.696809
375.92144,500,11651.740376
277.737442,500,11652.840947
358.165658,500,11653.920976
354.048939,500,11857.627
329.918032,500,11858.680397
311.200054,500,11859.742602
364.041285,500,11860.795512
346.015739,500,11861.83432
382.438329,500,12064.565215
305.617486,500,12065.622967
381.278924,500,12066.670717
274.252106,500,12067.74081
319.9889,500,12068.796612
340.345414,500,12273.166637
297.405718,500,12274.24181
373.764554,500,12275.297376
397.614923,500,12276.333022
322.091506,500,12277.38836
314.164607,500,12480.052188
391.290679,500,12481.094837
343.27859,500,12482.149246
355.129669,500,12483.192044
327.536623,500,12484.244458
320.770536,500,12687.408419
244.247825,500,12688.499855
368.273554,500,12689.581247
337.460621,500,12690.62842
277.148986,500,12691.71064
288.283683,500,12896.943314
363.614262,500,12897.988334
384.157393,500,12899.028294
306.111746,500,12900.068338
305.379668,500,12901.132004
328.526411,500,12902.208956
363.154616,500,13105.43238
321.739646,500,13106.503685
402.719279,500,13107.588055
377.876117,500,13108.649446
344.24274,500,13109.698112
288.553055,500,13110.737195
417.695279,500,13314.570775
419.586071,500,13315.632296
267.585343,500,13316.690693
314.221748,500,13317.744689
336.885329,500,13318.792661
322.527286,500,13319.839038
344.74409,500,13523.703458
242.883573,500,13524.762673
287.529563,500,13525.824174
289.148093,500,13526.88417
339.016769,500,13527.925123
303.016694,500,13528.978049
376.350867,500,13731.612075
293.367535,500,13732.666695
351.033991,500,13733.715996
384.040345,500,13734.789808
374.3142,500,13735.85584
354.806269,500,13736.90821
287.389321,500,13940.339051
374.141167,500,13941.383006
275.244563,500,13942.428669
311.614535,500,13943.484719
284.313747,500,13944.559043
340.026909,500,13945.633549
340.736858,500,14150.948309
372.519819,500,14151.975617
328.999753,500,14153.030931
348.210337,500,14154.095603
355.554239,500,14155.179237
369.751523,500,14156.265662
339.983115,500,14360.828285
313.463391,500,14361.906633
267.212482,500,14362.973752
296.792445,500,14364.027881
361.863083,500,14365.06804
322.230056,500,14366.11165
323.120845,500,14571.384536
315.140448,500,14572.447007
338.082881,500,14573.481316
299.214773,500,14574.525417
275.824012,500,14575.588534
362.973785,500,14576.64855
346.274278,500,14577.693995
309.363934,500,14780.945718
372.470655,500,14782.000167
386.124132,500,14783.052454
378.358145,500,14784.106058
284.985445,500,14785.174867
346.133182,500,14786.243196
386.663451,500,14787.295696
312.299344,500,14989.500768
389.792154,500,14990.56342
328.084686,500,14991.632808
323.911274,500,14992.66865
351.833714,500,14993.710707
365.627787,500,14994.748477
351.23861,500,14995.814757
426.075931,500,15199.064586
328.415643,500,15200.117083
340.225184,500,15201.182016
352.855349,500,15202.237928
408.996073,500,15203.274076
296.911181,500,15204.312772
308.806427,500,15205.406645
289.89108,500,15409.641378
354.43264,500,15410.693719
310.578442,500,15411.752065
351.070451,500,15412.788656
328.117532,500,15413.838925
399.924017,500,15414.884089
303.986819,500,15415.956208
401.601031,500,15619.291089
339.262127,500,15620.324411
335.034965,500,15621.378956
336.176351,500,15622.433757
344.486131,500,15623.503526
378.260781,500,15624.558931
302.471192,500,15625.587733
358.970958,500,15626.644579
302.026188,500,15829.19286
401.005808,500,15830.222018
353.642886,500,15831.281057
299.447317,500,15832.34082
388.642611,500,15833.378878
360.334005,500,15834.427469
226.450523,500,15835.490539
324.961105,500,15836.537164
318.008745,500,16039.055119
389.179406,500,16040.065835
371.509545,500,16041.121498
306.921087,500,16042.160728
354.265274,500,16043.199704
390.436038,500,16044.228575
349.97648,500,16045.309525
376.264687,500,16046.412869
367.458931,500,16248.735828
346.64753,500,16249.797792
346.268826,500,16250.844873
388.851578,500,16251.935176
400.853167,500,16252.966989
310.410901,500,16254.065047
402.618872,500,16255.109455
221.054913,500,16256.213084
337.170107,500,16460.668183
340.687521,500,16461.710898
384.791882,500,16462.762302
366.966904,500,16463.808914
275.610181,500,16464.865659
406.13315,500,16465.914392
283.056814,500,16467.003986
254.150107,500,16468.094165
233.293806,500,16673.025915
354.879121,500,16674.082416
367.222518,500,16675.148702
314.657667,500,16676.20535
352.970049,500,16677.277116
318.259394,500,16678.314575
371.66199,500,16679.352836
249.145365,500,16680.406522
403.272734,500,16884.07095
265.853969,500,16885.123029
337.069232,500,16886.191085
377.342661,500,16887.247119
350.525167,500,16888.302421
306.566647,500,16889.364824
388.167967,500,16890.393734
341.039202,500,16891.446074
367.468378,500,17094.93016
265.831231,500,17095.998497
392.353859,500,17097.040184
269.016717,500,17098.115035
274.338971,500,17099.200085
320.920958,500,17100.244561
321.707737,500,17101.324548
358.897401,500,17102.361887
390.876161,500,17307.202241
351.525915,500,17308.245652
336.146506,500,17309.297802
330.877162,500,17310.326033
328.163995,500,17311.366068
292.766516,500,17312.404525
286.069252,500,17313.496744
316.156206,500,17314.563603
357.875415,500,17517.073173
376.089793,500,17518.139597
384.731269,500,17519.179782
313.858175,500,17520.2231
402.013093,500,17521.249976
360.227504,500,17522.29116
410.209186,500,17523.319443
371.059439,500,17524.368896
287.145706,500,17725.812662
400.068723,500,17726.84629
387.289275,500,17727.875738
371.497165,500,17728.916359
329.544936,500,17729.946369
313.3898,500,17730.999777
342.815018,500,17732.070268
395.349116,500,17733.105853
386.457853,500,17935.024157
257.706661,500,17936.086314
357.065778,500,17937.129158
366.265145,500,17938.165206
312.119288,500,17939.209977
335.805324,500,17940.250191
319.71725,500,17941.306957
358.730464,500,17942.342136
345.362665,500,17943.375024
371.949593,500,18145.575834
330.909451,500,18146.627307
340.364709,500,18147.67675
295.483969,500,18148.733571
357.904805,500,18149.786847
247.322021,500,18150.843325
355.874807,500,18151.877067
383.67647,500,18152.94422
310.370998,500,18154.004631
341.633169,500,18356.095655
338.57462,500,18357.14613
328.951849,500,18358.213493
321.864191,500,18359.268145
344.722479,500,18360.312792
338.048611,500,18361.350833
387.746905,500,18362.391369
367.545673,500,18363.426741
339.567011,500,18364.475922
382.648489,500,18565.484205
408.263964,500,18566.531029
406.872038,500,18567.563324
358.80309,500,18568.599968
408.550952,500,18569.630433
266.009703,500,18570.68462
291.593321,500,18571.724027
409.466879,500,18572.756623
337.664576,500,18573.814517
396.802134,500,18782.001723
369.551721,500,18783.053075
363.502705,500,18784.080109
412.4506,500,18785.104888
302.824444,500,18786.179752
226.346763,500,18787.227407
331.03483,500,18788.336559
300.500634,500,18789.398679
307.206697,500,18790.465522
404.698476,500,18992.956085
363.595652,500,18994.005961
298.486577,500,18995.043208
348.847352,500,18996.103326
355.720874,500,18997.140094
362.798946,500,18998.178677
312.693148,500,18999.258785
335.31635,500,19000.320582
324.197456,500,19001.361513
241.970944,500,19002.444196
387.458996,500,19204.597885
387.016735,500,19205.621632
318.673543,500,19206.697812
196.464321,500,19207.771408
296.048444,500,19208.823406
349.418889,500,19209.877509
343.020748,500,19210.90405
375.152118,500,19211.930344
339.579665,500,19212.970714
327.861034,500,19214.02621
302.656928,500,19417.262915
331.462513,500,19418.30568
221.761705,500,19419.370442
283.299615,500,19420.429772
341.124502,500,19421.471749
324.416531,500,19422.535589
389.169324,500,19423.569557
333.192154,500,19424.632882
295.101045,500,19425.695095
341.998523,500,19426.740899
405.095561,500,19628.394047
396.57205,500,19629.436774
282.831847,500,19630.501798
322.249296,500,19631.553563
323.121626,500,19632.598056
286.650877,500,19633.649504
366.354248,500,19634.709913
273.352071,500,19635.787505
334.833452,500,19636.848935
342.92022,500,19637.911322
202.061811,500,19839.903823
418.332963,500,19840.948531
447.694782,500,19842.006628
355.192898,500,19843.052956
381.798519,500,19844.082874
359.401759,500,19845.12803
371.921563,500,19846.17842
312.143381,500,19847.2413
419.439082,500,19848.30148
330.333166,500,19849.359012
206.44169,500,20052.160973
380.483589,500,20053.201785
298.578193,500,20054.257686
237.511451,500,20055.318681
326.428824,500,20056.36227
408.883897,500,20057.388884
267.942562,500,20058.460672
274.011559,500,20059.535865
361.888914,500,20060.585935
304.53569,500,20061.673246
366.668892,500,20264.78455
319.75187,500,20265.841273
324.155197,500,20266.87533
282.901966,500,20267.98598
331.542022,500,20269.059545
388.394213,500,20270.077112
317.939692,500,20271.117414
290.409795,500,20272.157405
351.626784,500,20273.1862
349.516227,500,20274.223129
260.335309,500,20275.233796
340.00077,500,20477.509388
322.159332,500,20478.537248
360.719655,500,20479.581257
376.808614,500,20480.628336
175.163363,500,20481.70349
362.978961,500,20482.734115
386.245688,500,20483.770686
392.981898,500,20484.83263
339.323217,500,20485.914054
400.897529,500,20486.952599
321.003654,500,20487.994554
353.890374,500,20689.862113
378.811359,500,20690.895463
253.726514,500,20691.958472
362.182325,500,20693.011801
273.713718,500,20694.098301
363.818107,500,20695.130067
405.559721,500,20696.172062
373.683134,500,20697.228699
416.112718,500,20698.276253
361.958828,500,20699.3259
352.671112,500,20700.340785
383.251034,500,20901.703525
353.830214,500,20902.750014
385.971656,500,20903.777796
316.61184,500,20904.811401
276.30587,500,20905.856478
276.51356,500,20906.904558
360.717032,500,20907.950626
328.534656,500,20908.983554
300.24778,500,20910.032936
206.336959,500,20911.121311
365.942147,500,20912.128754
386.95357,500,21114.227531
289.536647,500,21115.288757
386.904873,500,21116.345716
328.672837,500,21117.408915
393.350395,500,21118.449106
356.671836,500,21119.506926
326.016106,500,21120.570662
308.148181,500,21121.620861
351.253063,500,21122.652575
394.040786,500,21123.681857
404.952088,500,21124.690909
399.078595,500,21326.475549
300.330029,500,21327.533913
293.90584,500,21328.584557
355.458734,500,21329.632224
277.472134,500,21330.688236
289.671041,500,21331.72969
367.036944,500,21332.745599
247.578035,500,21333.79407
341.331738,500,21334.86027
360.78025,500,21335.939612
366.538134,500,21336.956342
372.921909,500,21539.03712
338.376917,500,21540.119889
299.219785,500,21541.176748
302.696567,500,21542.242793
379.81453,500,21543.290843
325.550209,500,21544.344774
308.413788,500,21545.426636
258.982758,500,21546.505559
319.968333,500,21547.555094
269.847507,500,21548.633374
371.115701,500,21549.665929
331.819503,500,21753.138648
300.548356,500,21754.200877
462.24942,500,21755.237918
240.199782,500,21756.316295
320.375874,500,21757.386385
354.962937,500,21758.440542
358.3429,500,21759.47712
342.133926,500,21760.535338
319.788938,500,21761.586933
280.728786,500,21762.648581
275.5968,500,21763.700041
263.191824,500,21966.693506
395.94161,500,21967.745132
296.694261,500,21968.78148
332.630723,500,21969.857446
367.286454,500,21970.933293
376.074894,500,21972.007869
368.885435,500,21973.050059
386.197653,500,21974.100691
363.710926,500,21975.133812
231.362573,500,21976.215853
314.845792,500,21977.231335
372.821788,500,22178.551903
351.306173,500,22179.606283
401.264622,500,22180.639866
400.101612,500,22181.697237
333.238874,500,22182.734854
358.858324,500,22183.766339
