#{"t_start": 1611588324.0345733, "env_id": null}
r,l,t
89.806857,150,1159.80968
93.545457,150,1233.382354
94.452693,150,1233.760123
111.94882,150,1307.910716
103.679535,150,1308.290178
103.170077,150,1381.482779
99.40161,150,1381.867019
125.874085,150,1454.091899
122.087644,150,1454.456989
101.93448,150,1454.822852
95.335114,150,1455.189819
80.925584,150,1529.16209
75.140249,150,1529.566151
122.238688,150,1529.952391
103.761941,150,1530.335913
101.91143,150,1530.716784
102.886217,150,1605.021275
114.467571,150,1605.400879
118.496073,150,1605.781337
90.574962,150,1606.162463
128.112086,150,1606.536915
90.878885,150,1678.752905
110.17293,150,1679.125844
110.749174,150,1679.507241
97.055346,150,1679.880326
80.051517,150,1680.255101
85.820827,150,1753.314354
107.939627,150,1753.691257
125.421976,150,1754.066713
103.000606,150,1754.440624
88.961517,150,1754.820593
94.024526,150,1827.496305
104.208603,150,1827.864243
106.559748,150,1828.230043
122.779151,150,1828.597466
100.731375,150,1828.967862
91.541067,150,1829.370157
100.259542,150,1901.562964
107.694852,150,1901.948913
88.872838,150,1902.340953
100.636617,150,1902.72876
86.017575,150,1903.116801
91.511399,150,1903.536108
99.614471,150,1903.922543
115.352879,150,1976.896901
124.669679,150,1977.265342
81.095341,150,1977.644506
89.415261,150,1978.02733
100.91059,150,1978.406784
80.85694,150,1978.823878
89.099738,150,1979.209171
94.656731,150,1979.582554
84.346682,150,2052.791804
113.179608,150,2053.161996
94.937883,150,2053.541378
96.188628,150,2053.91671
92.448082,150,2054.292927
117.76557,150,2054.700465
119.701361,150,2055.072712
131.453139,150,2055.444822
123.057282,150,2128.389438
110.64147,150,2128.763275
94.103564,150,2129.141271
108.46402,150,2129.515115
94.660328,150,2129.888099
103.550817,150,2130.294062
124.919928,150,2130.664431
91.296021,150,2131.039432
84.881046,150,2204.229037
94.922685,150,2204.619524
113.724295,150,2205.001564
131.794952,150,2205.383695
101.798215,150,2205.759982
108.023605,150,2206.179014
107.623432,150,2206.553199
101.676461,150,2206.927963
81.462293,150,2207.30921
70.357211,150,2280.180515
85.429653,150,2280.550563
113.860176,150,2280.918956
103.445806,150,2281.291522
110.740328,150,2281.655391
77.61296,150,2282.054307
94.541957,150,2282.426025
133.498436,150,2282.792147
94.482342,150,2283.157949
111.780927,150,2356.077507
115.199766,150,2356.460547
106.78664,150,2356.845565
83.119672,150,2357.237368
78.457059,150,2357.62403
78.767843,150,2358.050315
86.925639,150,2358.433873
105.581,150,2358.814936
95.261156,150,2359.200184
93.080529,150,2359.588881
125.210205,150,2432.372503
72.355387,150,2432.754626
88.824514,150,2433.134861
135.274843,150,2433.507593
87.303324,150,2433.881044
75.246399,150,2434.290336
111.43876,150,2434.662403
109.523676,150,2435.033755
102.608447,150,2435.399206
71.644976,150,2435.781757
87.877861,150,2436.156115
98.158173,150,2508.800297
104.843943,150,2509.169271
113.801294,150,2509.548753
103.096545,150,2509.920675
87.264668,150,2510.292185
122.004464,150,2510.69271
93.198484,150,2511.064362
111.546077,150,2511.430268
76.737383,150,2511.803204
96.127534,150,2512.17979
137.048679,150,2512.552943
102.355555,150,2585.5024
102.048851,150,2585.877681
108.530511,150,2586.26085
91.882648,150,2586.632976
92.392319,150,2587.005394
87.492615,150,2587.409632
94.786505,150,2587.784391
95.175648,150,2588.153669
98.158189,150,2588.527064
99.117298,150,2588.899688
115.956907,150,2589.274965
105.141748,150,2661.844777
88.015799,150,2662.212832
116.095565,150,2662.586055
109.232592,150,2662.950337
52.244015,150,2663.322345
98.843974,150,2663.721086
117.034348,150,2664.08711
117.407325,150,2664.450918
102.010432,150,2664.816341
130.617966,150,2665.192578
117.135218,150,2665.560894
103.727517,150,2665.959932
111.467388,150,2738.093716
84.530655,150,2738.480283
106.399343,150,2738.855674
101.059713,150,2739.230366
97.302359,150,2739.603405
110.916438,150,2740.010545
79.023064,150,2740.38328
99.635496,150,2740.758333
82.017185,150,2741.135015
103.280937,150,2741.507569
92.230504,150,2741.873982
72.659252,150,2742.281365
108.434665,150,2742.650662
140.683251,150,2815.336392
123.600814,150,2815.704765
111.173266,150,2816.081389
100.621309,150,2816.458081
124.129478,150,2816.829831
118.174038,150,2817.23275
90.356935,150,2817.606446
95.598238,150,2817.973331
91.466525,150,2818.350665
111.338612,150,2818.720852
89.414174,150,2819.099057
107.488574,150,2819.50381
117.134223,150,2819.870216
107.698587,150,2820.230878
106.304408,150,2893.130412
121.533371,150,2893.50742
122.6805,150,2893.878189
111.394764,150,2894.246452
122.369583,150,2894.619984
75.469722,150,2895.031106
95.620841,150,2895.405314
120.052118,150,2895.771842
122.848562,150,2896.137689
118.869788,150,2896.516457
115.570181,150,2896.890244
123.067749,150,2897.296746
117.055099,150,2897.665215
98.641958,150,2898.034598
95.721085,150,2970.351593
111.637407,150,2970.721668
117.251664,150,2971.095827
132.275219,150,2971.46739
128.306989,150,2971.83422
113.928655,150,2972.236301
106.575839,150,2972.606214
112.308799,150,2972.97434
128.426975,150,2973.344072
111.029795,150,2973.723615
123.081688,150,2974.099887
126.281063,150,2974.510935
109.753266,150,2974.881531
119.467523,150,2975.254376
105.622321,150,3048.878593
134.468229,150,3049.248193
125.433306,150,3049.623507
107.598543,150,3049.99465
113.193208,150,3050.356774
110.543838,150,3050.7562
102.210305,150,3051.123893
113.388271,150,3051.485906
100.117615,150,3051.846643
118.205344,150,3052.220801
109.305153,150,3052.589124
120.047222,150,3052.987725
123.041203,150,3053.355116
127.371773,150,3053.716291
101.237831,150,3125.111617
127.555283,150,3125.479645
109.243471,150,3125.844886
96.790658,150,3126.21389
122.151903,150,3126.578953
111.342944,150,3126.976709
132.106461,150,3127.34288
125.788907,150,3127.705616
93.204646,150,3128.07327
110.118996,150,3128.449138
116.266198,150,3128.817785
91.874473,150,3129.223741
129.876026,150,3129.586021
119.214088,150,3129.948589
123.875309,150,3130.308295
119.662508,150,3202.547345
110.216034,150,3202.931677
76.602346,150,3203.309019
106.964637,150,3203.680643
120.083502,150,3204.05161
105.567199,150,3204.457183
119.349229,150,3204.820586
94.567992,150,3205.189929
113.641528,150,3205.571226
133.118246,150,3205.939256
124.625735,150,3206.308435
68.927948,150,3206.721666
135.228955,150,3207.086965
115.349239,150,3207.456176
109.498383,150,3207.828937
114.354104,150,3208.210197
87.282558,150,3280.796079
103.26879,150,3281.171146
133.667269,150,3281.546252
130.608559,150,3281.915525
96.830177,150,3282.286638
130.437319,150,3282.696846
133.794272,150,3283.069837
136.110868,150,3283.438821
104.29194,150,3283.816871
127.6249,150,3284.186302
108.42574,150,3284.564289
100.271961,150,3284.967517
125.168144,150,3285.343292
129.197249,150,3285.715429
92.931682,150,3286.089984
93.284729,150,3286.537377
81.286361,150,3286.918446
125.861107,150,3360.109181
121.040066,150,3360.482062
89.645049,150,3360.851882
129.970542,150,3361.217414
116.111271,150,3361.585298
112.818536,150,3361.993471
126.318738,150,3362.378721
122.571148,150,3362.756995
115.382204,150,3363.127443
98.500991,150,3363.499388
109.192185,150,3363.869799
107.535914,150,3364.271885
146.075094,150,3364.64263
124.119203,150,3365.019392
133.006654,150,3365.398229
114.725728,150,3365.765081
130.001877,150,3366.134802
108.791966,150,3438.543371
100.469947,150,3438.933547
116.702961,150,3439.311817
114.368712,150,3439.685484
118.660639,150,3440.065811
128.162309,150,3440.471449
102.204071,150,3440.850204
94.454937,150,3441.230125
112.342248,150,3441.6133
96.023536,150,3441.995772
115.658388,150,3442.373111
130.772839,150,3442.77647
105.498073,150,3443.147084
134.54714,150,3443.522902
97.211551,150,3443.902652
114.136206,150,3444.288832
108.303345,150,3444.663207
137.034067,150,3517.846241
133.821004,150,3518.232938
132.357526,150,3518.621891
101.928946,150,3519.000261
115.36341,150,3519.388664
122.984224,150,3519.799294
96.055744,150,3520.183491
120.818593,150,3520.570951
117.325646,150,3520.947852
103.242385,150,3521.340008
122.353341,150,3521.727515
136.095325,150,3522.144693
101.060859,150,3522.526278
98.156919,150,3522.908212
116.430085,150,3523.287423
110.958923,150,3523.662231
130.850559,150,3524.047182
96.621426,150,3596.332439
117.779719,150,3596.703089
108.862999,150,3597.081743
113.334008,150,3597.452435
107.7464,150,3597.822052
107.45256,150,3598.224792
110.830963,150,3598.592191
92.092659,150,3598.960107
111.706882,150,3599.326827
94.397925,150,3599.710819
96.266227,150,3600.083478
114.532046,150,3600.483722
129.02536,150,3600.850457
123.341057,150,3601.216831
114.732491,150,3601.586435
139.55518,150,3601.949773
107.166347,150,3602.329125
109.986823,150,3676.878746
88.808837,150,3677.269028
114.49537,150,3677.662261
112.336663,150,3678.0509
118.381509,150,3678.43084
113.727132,150,3678.843325
101.927051,150,3679.22348
131.92023,150,3679.600621
110.576314,150,3679.975157
97.91762,150,3680.352917
133.069052,150,3680.728933
105.693641,150,3681.140513
105.107291,150,3681.518055
113.438921,150,3681.893041
115.054232,150,3682.268686
121.69329,150,3682.64345
123.713545,150,3683.03424
121.866116,150,3683.449873
123.814092,150,3757.157616
101.467065,150,3757.54652
113.758894,150,3757.923756
131.986452,150,3758.295746
125.776274,150,3758.672549
125.681809,150,3759.090523
115.121094,150,3759.475198
142.348604,150,3759.854326
122.959181,150,3760.229629
105.62397,150,3760.599448
109.229766,150,3760.970785
117.972628,150,3761.378203
119.101878,150,3761.748367
128.321463,150,3762.132061
137.320169,150,3762.512219
92.26984,150,3762.894599
117.843786,150,3763.265492
92.751972,150,3763.675089
112.052916,150,3838.396892
123.184798,150,3838.790525
112.836035,150,3839.176378
105.536341,150,3839.563981
112.127876,150,3839.949396
106.519616,150,3840.384474
112.789442,150,3840.776409
118.398578,150,3841.173142
109.230015,150,3841.566712
132.974749,150,3841.955691
127.240851,150,3842.341703
111.800794,150,3842.759492
94.634014,150,3843.149351
119.4357,150,3843.538623
106.344451,150,3843.929684
142.54145,150,3844.360566
138.991368,150,3844.741924
128.912234,150,3845.158545
118.626133,150,3918.664127
111.092437,150,3919.042063
147.765648,150,3919.422176
111.165448,150,3919.806005
128.655606,150,3920.179204
129.627253,150,3920.590005
104.949218,150,3920.96854
114.302265,150,3921.355397
124.029815,150,3921.731524
119.533131,150,3922.111881
109.199356,150,3922.483751
115.442022,150,3922.893973
127.31449,150,3923.265446
112.812552,150,3923.638791
111.338372,150,3924.017112
102.348322,150,3924.387781
131.695307,150,3924.766752
120.392999,150,3925.174739
129.036811,150,3998.44743
113.394768,150,3998.835303
137.37294,150,3999.216367
110.659859,150,3999.594368
102.772858,150,3999.980879
123.873696,150,4000.394318
126.582182,150,4000.776313
126.526244,150,4001.156067
120.025077,150,4001.53045
124.843633,150,4001.907661
116.089477,150,4002.287502
97.455813,150,4002.697867
121.539624,150,4003.076048
117.029032,150,4003.45826
97.353376,150,4003.842982
114.710833,150,4004.227061
100.332632,150,4004.612797
117.437446,150,4005.023794
96.240684,150,4005.404398
98.111054,150,4078.852551
109.579331,150,4079.22635
112.383339,150,4079.603506
114.838958,150,4079.97691
111.21514,150,4080.34507
105.893051,150,4080.751629
122.568297,150,4081.117028
117.59286,150,4081.484973
121.22942,150,4081.853592
100.268324,150,4082.232395
127.076308,150,4082.606109
92.967672,150,4083.011475
113.171664,150,4083.380861
115.482202,150,4083.749883
80.119581,150,4084.132538
105.456523,150,4084.508778
123.009915,150,4084.881953
114.768254,150,4085.293079
99.93558,150,4085.665107
128.061386,150,4086.036141
117.915931,150,4159.565541
131.553703,150,4159.947936
95.219831,150,4160.336005
125.901215,150,4160.715702
97.973938,150,4161.098872
117.053394,150,4161.512759
114.073853,150,4161.891566
134.189485,150,4162.269972
105.229116,150,4162.649354
119.265608,150,4163.032781
116.151593,150,4163.41186
122.166025,150,4163.824776
109.624334,150,4164.205198
115.960182,150,4164.586725
57.800905,150,4164.970915
129.702958,150,4165.3555
122.174976,150,4165.746392
103.924922,150,4166.171031
138.418812,150,4166.553079
146.414245,150,4166.931822
104.765767,150,4167.323005
113.980922,150,4240.722984
106.776824,150,4241.119925
93.152168,150,4241.511617
115.297774,150,4241.88472
112.170118,150,4242.261075
129.714347,150,4242.667664
119.593384,150,4243.039193
114.069582,150,4243.414604
143.038703,150,4243.782224
106.997459,150,4244.155505
124.728742,150,4244.530612
129.530595,150,4244.933943
122.377063,150,4245.303043
99.357385,150,4245.669783
97.813567,150,4246.039972
95.807406,150,4246.417086
133.34071,150,4246.797867
119.593388,150,4247.20297
103.119757,150,4247.574318
96.216801,150,4247.945647
114.93249,150,4248.31536
80.039159,150,4321.560033
95.600412,150,4321.936852
105.377304,150,4322.321369
115.531414,150,4322.698951
96.641216,150,4323.073292
79.393945,150,4323.491708
85.706857,150,4323.866163
119.896001,150,4324.241539
79.264916,150,4324.617394
127.544888,150,4324.996421
115.649648,150,4325.372267
123.654859,150,4325.784004
77.775119,150,4326.161638
109.283439,150,4326.534469
80.085586,150,4326.910141
125.654014,150,4327.281464
116.119392,150,4327.663975
97.21356,150,4328.083875
118.049933,150,4328.457355
126.814096,150,4328.827138
117.127813,150,4329.192883
73.672588,150,4402.683478
120.856623,150,4403.07111
83.960808,150,4403.451864
105.065255,150,4403.823076
107.497371,150,4404.199507
88.67897,150,4404.608191
102.978264,150,4404.975435
99.617309,150,4405.345896
105.975151,150,4405.714609
105.636636,150,4406.086895
82.063431,150,4406.456095
101.850542,150,4406.867427
112.279325,150,4407.238123
80.141706,150,4407.61087
99.396287,150,4407.979297
101.830766,150,4408.351935
98.505904,150,4408.728182
87.089611,150,4409.133747
81.828644,150,4409.504837
83.407939,150,4409.878136
84.277803,150,4410.255528
110.288578,150,4410.629183
70.835727,150,4484.206938
75.329903,150,4484.589754
75.804912,150,4484.975249
102.991379,150,4485.349997
86.568039,150,4485.726738
108.274806,150,4486.135602
110.563082,150,4486.518699
102.316454,150,4486.894742
115.28233,150,4487.270076
123.27352,150,4487.636748
90.830269,150,4488.016828
83.97664,150,4488.424461
81.164228,150,4488.792264
71.596532,150,4489.181539
98.08087,150,4489.555728
84.692617,150,4489.929404
76.954489,150,4490.300482
95.201188,150,4490.699492
102.002679,150,4491.055323
92.796395,150,4491.420266
98.579335,150,4491.799245
72.602344,150,4492.173973
108.081017,150,4568.007611
103.106557,150,4568.394359
90.024852,150,4568.789871
74.362433,150,4569.1764
77.73837,150,4569.560258
72.31407,150,4569.989189
95.325791,150,4570.365919
90.131252,150,4570.749056
102.5428,150,4571.128555
88.8548,150,4571.523035
99.824401,150,4571.901981
51.083189,150,4572.324055
91.724629,150,4572.702261
90.540736,150,4573.080531
100.315896,150,4573.458875
98.749028,150,4573.833081
107.46813,150,4574.213382
111.536152,150,4574.622134
116.431624,150,4574.994375
100.55512,150,4575.374177
117.493461,150,4575.749624
119.97851,150,4576.12131
85.074359,150,4576.504593
93.466749,150,4650.306419
