#{"t_start": 1593766407.3064394, "env_id": null}
r,l,t
2.190398,100,21.307986
3.117597,100,21.412537
2.645044,100,21.517538
1.432035,100,21.623592
2.752377,100,21.728026
3.084754,100,21.832435
2.654516,100,21.937536
3.307536,100,22.042587
2.988464,100,22.148094
3.060364,100,22.25298
2.597905,100,22.983164
2.609803,100,23.088421
1.553945,100,23.193174
2.89012,100,23.300373
2.674273,100,23.406312
2.908903,100,23.512357
3.610458,100,23.619055
3.88205,100,23.725041
3.495766,100,23.830065
1.827268,100,23.936374
2.872267,100,46.784682
2.720067,100,46.889769
2.749502,100,46.994939
1.94004,100,47.099714
2.588953,100,47.204226
2.871751,100,47.30865
2.537531,100,47.413722
3.101935,100,47.518129
2.432738,100,47.622415
3.737092,100,47.726425
2.975927,100,47.892809
2.895295,100,47.997221
2.525159,100,48.10244
3.385451,100,48.206925
2.36746,100,48.311635
2.775747,100,48.415598
2.461983,100,48.519716
3.781181,63,48.586421
2.92627,100,48.690454
3.390487,100,48.795097
3.672647,100,71.482398
2.919072,100,71.586769
4.61501,89,71.679539
2.227277,100,71.78387
2.477674,100,71.888174
2.625856,100,71.992762
2.391358,100,72.097024
2.491767,100,72.201498
2.794078,100,72.305351
2.671634,100,72.409736
1.897805,100,72.581648
4.555702,100,72.690771
2.789405,100,72.800454
3.778811,100,72.909629
3.066591,100,73.019166
3.123411,100,73.12894
3.280074,100,73.238557
3.163179,100,73.345713
2.670488,100,73.450675
4.488138,100,73.554423
3.265335,100,95.885411
3.117439,100,95.988925
3.177498,100,96.092653
3.841261,100,96.195412
2.818094,100,96.299517
3.257526,100,96.40297
4.180994,100,96.50758
4.319115,100,96.611774
3.305248,100,96.716837
3.795956,100,96.820819
4.210503,81,96.971325
4.002494,100,97.075874
2.627788,68,97.146806
3.265837,100,97.250997
4.846621,100,97.35576
4.079404,100,97.460262
2.814967,100,97.565326
2.760195,100,97.669497
2.898973,100,97.77386
2.518182,56,97.832566
2.467327,100,97.937186
3.497373,100,120.280223
3.169939,100,120.384509
2.492264,100,120.488551
3.166084,67,120.559052
2.635176,100,120.663653
3.816567,100,120.768014
3.136445,100,120.872546
3.223549,100,120.976636
3.200452,100,121.081573
2.535938,100,121.186066
1.864007,100,121.354899
3.182462,100,121.459416
2.877599,59,121.52147
2.31874,100,121.625936
4.78238,94,121.723608
3.148649,100,121.828418
3.945147,100,121.933644
2.698804,100,122.037989
7.04235,100,122.142485
3.04978,100,122.246779
3.813096,100,122.350552
3.508348,100,144.729664
2.988193,100,144.833745
3.800854,100,144.939152
3.310175,100,145.043298
7.466957,100,145.147755
3.002472,71,145.221588
4.522894,92,145.318115
4.219936,100,145.422509
3.274559,100,145.526485
3.217266,100,145.631041
4.698428,100,145.798607
2.875643,100,145.902524
3.456253,70,145.975467
5.315737,77,146.055098
2.72672,100,146.160202
3.30533,100,146.264984
2.92074,100,146.369432
2.696529,100,146.472983
3.422247,100,146.576756
3.620082,100,146.680736
3.240875,100,146.78555
3.141352,100,169.10599
6.254158,100,169.210044
3.094718,100,169.314102
3.713863,100,169.418959
3.123785,100,169.522099
3.19241,100,169.626045
3.397741,100,169.730343
3.187162,100,169.834766
3.470154,100,169.939246
3.336083,63,170.005363
3.418791,100,170.170618
5.34671,100,170.274409
3.478171,100,170.378765
4.173133,100,170.482667
3.883387,100,170.586362
4.089198,54,170.642996
5.630031,100,170.747196
3.33721,100,170.854347
3.03553,100,170.959377
5.078745,100,171.064003
3.724985,100,171.168278
5.985166,100,193.409484
7.093333,100,193.513141
5.388416,100,193.617189
6.240682,100,193.721999
3.178054,100,193.826296
2.946061,100,193.93054
3.327195,100,194.03467
5.068021,100,194.138281
3.890609,100,194.242104
3.91926,100,194.348163
3.773287,86,194.498271
4.717074,100,194.602366
3.799359,100,194.706005
3.869955,100,194.809668
7.956584,100,194.913829
2.554382,39,194.954604
3.599148,100,195.058995
5.083974,100,195.16306
4.761949,100,195.267411
4.930249,82,195.353057
4.063243,100,195.457355
5.680319,78,217.732565
4.596845,100,217.837058
2.317827,41,217.879148
3.20899,100,217.982954
3.78448,100,218.088148
3.841781,100,218.191701
3.602921,100,218.297323
3.358412,100,218.401206
3.881916,100,218.505598
6.061233,100,218.610881
4.029887,100,218.714855
8.381685,100,218.881815
4.828407,100,218.985486
3.607904,100,219.090219
7.62684,100,219.194646
4.251712,66,219.263196
5.747868,100,219.366724
4.177117,100,219.470852
5.066684,100,219.574657
4.13735,100,219.679381
3.627942,100,219.783409
5.893283,100,241.959312
4.943042,100,242.064204
3.062552,70,242.136242
4.219954,100,242.239551
6.77783,100,242.343586
3.726438,100,242.447677
5.451869,100,242.551967
3.555567,100,242.656043
7.45852,100,242.760825
3.486751,100,242.864637
6.144299,100,243.032202
5.738924,100,243.136008
5.128061,100,243.240095
4.294117,100,243.344542
4.030643,100,243.449067
3.933765,100,243.553358
9.505982,100,243.658597
10.179385,100,243.762109
9.729219,100,243.866202
5.516136,100,243.971673
4.227614,100,266.397949
6.194519,100,266.502047
5.242472,100,266.606161
8.673314,100,266.710047
8.910752,93,266.806183
4.465471,100,266.909819
4.320089,100,267.013073
4.270279,100,267.11605
7.312914,100,267.220118
3.943983,100,267.323822
4.602284,100,267.489116
4.263449,100,267.593289
4.263558,100,267.697057
3.740124,100,267.801323
6.166931,100,267.90529
5.042418,100,268.009629
4.10809,100,268.113734
4.484156,100,268.217338
3.907737,100,268.323008
3.970864,100,268.427226
6.318472,100,290.955195
7.216671,100,291.059152
6.188876,100,291.16325
7.010929,100,291.267375
5.509457,100,291.371442
5.056466,100,291.474907
4.321555,100,291.579066
8.080966,100,291.682244
5.568238,100,291.78584
5.3621,100,291.8895
4.003033,100,292.056813
8.811472,100,292.160795
5.989217,100,292.264867
6.853324,100,292.369713
4.305002,100,292.473369
9.376207,100,292.576984
8.08611,100,292.680433
7.807571,100,292.784488
4.115388,100,292.888642
4.201745,100,292.993162
8.187939,100,315.519246
4.830641,100,315.622588
5.125068,100,315.726609
1.997396,28,315.755854
6.246008,100,315.859458
5.092831,100,315.962611
4.420729,100,316.066583
7.492955,100,316.169748
2.621378,36,316.207517
4.046436,100,316.310798
7.318848,100,316.41403
4.74453,100,316.579826
8.165225,100,316.683719
4.545001,100,316.787827
8.605428,100,316.891304
8.561927,100,316.994539
4.548655,100,317.097374
8.106077,100,317.201602
5.779597,100,317.305392
6.265478,100,317.408944
7.108451,100,317.512059
4.340563,100,340.342807
5.796398,100,340.446483
8.870717,100,340.549984
5.775173,100,340.654628
9.596442,100,340.75864
6.439174,100,340.862844
3.81847,100,340.967146
8.341434,100,341.07099
9.013699,100,341.175432
6.099031,100,341.278741
6.449349,100,341.444663
5.162587,100,341.548708
5.347843,100,341.652858
7.068742,100,341.755937
8.115989,100,341.859782
8.39655,100,341.964243
5.522746,100,342.068578
8.213181,100,342.172164
5.689893,100,342.277096
8.392146,100,342.382097
6.543308,100,365.249769
4.277974,100,365.35317
8.299278,100,365.456821
6.339983,100,365.560279
8.086871,100,365.664391
7.83127,100,365.768608
8.074396,100,365.872462
5.681308,100,365.977062
6.185662,100,366.081275
4.867302,100,366.185317
8.81086,100,366.350754
9.010824,100,366.454429
8.587328,100,366.558708
6.06453,100,366.662471
