#{"t_start": 1593766429.3042848, "env_id": null}
r,l,t
2.853566,100,23.284897
2.688952,100,23.386618
2.667435,100,23.488058
2.82004,100,23.588781
3.1119,100,23.692508
2.483634,100,23.794118
2.692034,100,23.89747
2.953545,100,23.998792
2.570378,100,24.099858
2.335046,100,24.201429
3.269045,100,46.830675
2.756944,100,46.934101
2.681919,100,47.037937
2.483483,100,47.141543
2.813177,100,47.24485
2.366203,100,47.348015
2.799642,100,47.454095
2.733425,100,47.557932
2.791613,100,47.661305
2.89807,100,47.763577
2.755129,100,69.96713
2.672893,100,70.069636
2.693247,100,70.172036
2.730283,100,70.274816
3.071107,100,70.376811
2.683391,100,70.480363
3.212374,100,70.583433
2.813883,100,70.686416
2.430649,100,70.789229
2.62286,100,70.891777
2.949313,100,93.374939
2.724847,100,93.477721
2.925957,100,93.581681
2.934759,100,93.684956
2.787712,100,93.788633
2.808446,100,93.892176
2.479607,100,93.996669
2.452387,100,94.099253
2.922215,100,94.202914
2.886956,100,94.306956
2.889173,100,116.772281
2.698306,100,116.875356
2.648611,100,116.977778
2.907239,100,117.080064
2.800231,100,117.183753
2.617142,100,117.286662
2.713317,100,117.39061
3.11969,100,117.493035
2.691613,100,117.596422
2.608153,100,117.698729
2.940479,100,140.175504
2.644441,100,140.278829
1.974698,100,140.38151
2.733105,100,140.483842
2.36526,100,140.58654
2.746616,100,140.689768
2.377196,100,140.792331
2.672696,100,140.895083
2.660933,100,140.997152
2.768649,100,141.100624
3.327133,100,163.572873
2.572391,100,163.676362
2.46261,100,163.778416
3.269407,100,163.880483
3.411202,100,163.983242
1.929176,100,164.085968
2.332759,100,164.189806
2.973677,100,164.292432
2.856372,100,164.396425
1.999311,100,164.499544
2.81203,100,186.983682
2.586838,100,187.087265
2.705203,100,187.18913
2.78532,100,187.293287
2.664366,100,187.396643
2.434952,100,187.499622
2.919485,100,187.602429
2.66987,100,187.705508
4.184839,100,187.807884
2.830983,100,187.91084
3.279841,100,210.356344
2.554131,100,210.458317
2.889703,100,210.561254
2.291983,100,210.662441
2.864691,100,210.76552
2.317445,100,210.867641
3.051604,100,210.971824
2.215422,100,211.074623
2.79271,100,211.178486
2.934527,100,211.281115
3.791477,100,233.698452
3.078679,100,233.800674
2.81509,100,233.904138
3.010498,100,234.006436
2.928682,100,234.109243
2.926477,100,234.211037
3.709001,100,234.314462
3.338445,100,234.417053
3.474197,100,234.520403
3.393667,100,234.622912
2.975867,100,256.452713
3.145115,100,256.55569
2.665551,100,256.658658
3.77891,100,256.761544
4.123699,100,256.864547
2.842304,100,256.968121
2.822704,100,257.070465
3.278579,100,257.173571
3.743966,100,257.277664
4.465583,100,257.380735
5.036106,100,279.343391
3.484545,100,279.445834
3.134902,100,279.548091
5.336855,100,279.651006
3.049838,100,279.754754
7.659144,100,279.85739
4.558319,100,279.960575
4.172592,100,280.064202
2.980081,100,280.168232
2.99081,100,280.270977
4.630186,100,302.03142
3.963879,63,302.09619
3.827959,100,302.198859
3.160419,100,302.300882
3.594245,100,302.40314
2.828847,100,302.505582
3.812294,100,302.608059
2.534531,100,302.710983
3.070659,51,302.763752
5.380575,100,302.865887
4.67589,100,302.969063
3.581675,100,324.734344
5.615933,100,324.837657
3.588493,100,324.941436
4.326093,100,325.044071
3.527529,100,325.147504
4.838202,100,325.250198
3.321065,100,325.352777
3.66692,100,325.455064
5.362818,100,325.558365
2.848984,100,325.661252
3.682796,100,347.251789
5.870239,100,347.353958
3.714272,100,347.456193
3.648863,100,347.558797
6.028416,100,347.66128
3.668932,100,347.76405
5.335916,100,347.866347
4.562186,100,347.969604
4.106912,100,348.072078
3.591058,100,348.175133
7.971267,100,369.359498
4.718161,100,369.463227
3.856375,100,369.563597
4.580043,100,369.665517
5.156132,100,369.768909
4.291509,100,369.872105
3.52331,100,369.976035
5.286943,100,370.078159
4.563479,100,370.180054
2.674999,42,370.224165
4.394622,100,391.937532
4.165592,100,392.040258
2.143618,100,392.13917
4.006671,100,392.241746
4.972097,100,392.343824
4.369814,100,392.446437
5.200357,100,392.54759
6.238689,100,392.649962
5.303908,100,392.752526
3.700381,100,392.856857
3.241399,100,414.715216
9.471766,100,414.818115
4.527546,100,414.920228
3.976528,62,414.98484
5.604461,100,415.088286
4.59028,100,415.190197
3.948544,100,415.294245
1.936944,30,415.325306
3.884591,100,415.428745
6.696382,100,415.531281
5.506628,100,415.634538
4.92359,100,437.317762
4.82958,100,437.421105
4.073013,100,437.524213
1.804163,29,437.554211
3.831277,100,437.657456
9.265025,100,437.760045
6.25082,100,437.863949
8.115559,100,437.96866
4.94282,100,438.070967
4.606398,100,438.174222
2.874684,100,459.485789
5.305857,100,459.586908
3.451256,100,459.689342
7.920646,100,459.7918
6.903239,100,459.8945
6.734435,100,459.997918
5.777917,100,460.100322
7.435596,100,460.202206
3.649959,100,460.305685
1.836565,31,460.33773
4.399318,100,481.911469
9.073287,100,482.013159
5.609086,100,482.116056
2.670315,38,482.155059
3.957441,100,482.257339
5.875923,100,482.35887
5.205017,100,482.462009
1.884355,30,482.493433
4.712697,100,482.593533
4.278052,100,482.69593
8.039324,100,482.79924
7.685221,100,504.484549
6.141594,100,504.587783
7.290249,100,504.690468
5.487623,100,504.793124
1.61278,25,504.819362
7.469167,100,504.922201
4.552979,100,505.024641
8.954628,100,505.127351
5.335133,100,505.231188
2.866343,40,505.272566
5.17992,100,505.374917
5.772125,100,527.248814
1.745258,28,527.277974
7.065901,100,527.379199
5.120466,100,527.480708
4.925377,100,527.583054
9.272631,100,527.68495
6.320378,100,527.788556
7.230248,100,527.890532
4.849559,100,527.992725
5.759359,100,528.093818
1.867826,32,549.516353
8.714476,100,549.618612
5.426394,100,549.722437
4.512816,100,549.82535
6.995312,100,549.928242
5.705898,100,550.031482
6.000961,100,550.133287
6.133564,100,550.237822
6.013903,100,550.339835
4.758431,100,550.442621
6.797228,100,571.898437
4.891648,100,572.001447
5.12419,100,572.104812
7.734562,100,572.206069
6.446588,100,572.30952
9.163928,100,572.412755
5.825264,100,572.515774
8.293122,100,572.618285
