# {"t_start": 1607074739.629387, "env_id": "antgoal-v0"} 
r,l,t
118.800114,150,1.796928
110.712626,150,1.997079
94.936153,150,2.211281
85.903694,150,2.419556
109.404417,150,2.63654
94.742862,150,2.873985
101.514535,150,3.107593
88.269339,150,3.323557
96.781205,150,3.536339
97.372374,150,3.762484
85.465244,150,3.976877
95.10754,150,4.18376
107.471981,150,4.395214
117.790221,150,4.80446
100.711069,150,5.023615
93.007058,150,5.235049
93.738045,150,5.443136
94.842536,150,5.642962
87.37092,150,5.838317
100.354655,150,6.031627
87.123094,150,6.231068
99.006281,150,6.433864
94.42755,150,6.641959
98.570317,150,6.838028
110.225071,150,7.038513
133.047571,150,7.235069
89.774526,150,7.434935
119.214909,150,7.681919
89.722251,150,7.887399
96.974172,150,8.088789
98.95239,150,8.287842
103.16633,150,8.484673
85.135693,150,8.683905
118.259107,150,8.879705
98.887877,150,9.082331
108.505516,150,9.281444
145.022676,150,9.463874
110.539825,150,9.650077
88.844864,150,9.851706
122.092879,150,10.05041
113.11785,150,10.290716
95.294512,150,10.500924
85.319265,150,10.701772
103.509333,150,10.899997
93.081004,150,11.095035
117.676693,150,11.289458
108.371459,150,11.487881
113.078092,150,11.682761
96.690023,150,11.876169
86.598324,150,12.0704
108.825498,150,12.266492
103.407212,150,12.456542
92.376047,150,12.657617
96.734141,150,12.867059
134.137601,150,13.128955
104.858284,150,13.341601
122.229679,150,13.546602
103.566167,150,13.750101
102.188296,150,13.956885
116.617594,150,14.155539
85.768988,150,14.355073
94.793704,150,14.562883
121.794003,150,14.785021
105.003278,150,14.99563
136.414058,150,15.217848
100.792564,150,15.430077
130.029329,150,15.630582
116.932572,150,15.834188
109.447981,150,16.088815
130.044787,150,16.290081
141.63494,150,16.496286
127.844762,150,16.697499
105.513246,150,16.896125
122.259999,150,17.09536
110.820249,150,17.292631
118.681969,150,17.490645
124.577849,150,17.698096
106.761093,150,17.908343
113.067298,150,18.125128
135.087969,150,18.333187
117.742653,150,18.532359
97.597049,150,18.787511
128.228946,150,18.987877
117.934337,150,19.207194
117.205868,150,19.427379
123.887493,150,19.623602
105.93433,150,19.824633
102.065835,150,20.021359
107.001459,150,20.2148
