# {"t_start": 1606291656.027457, "env_id": "antgoal-v0"} 
r,l,t
90.084135,150,734.357594
80.602626,150,734.717799
89.982397,150,735.126264
89.93283,150,735.66574
80.542671,150,736.295967
80.215116,150,736.724863
80.501545,150,737.213746
90.123024,150,737.592234
90.026951,150,737.961957
90.050015,150,738.320331
89.941637,150,1584.426472
89.936757,150,1584.808561
90.028149,150,1585.190767
89.854036,150,1585.688064
90.013246,150,1586.115452
90.036662,150,1586.502435
89.925328,150,1586.874711
90.00561,150,1587.256301
90.010502,150,1587.628543
89.815869,150,1588.007513
90.04671,150,2451.196833
89.85465,150,2451.77843
90.035749,150,2452.292744
89.760074,150,2452.743917
89.947159,150,2453.207151
90.062415,150,2453.627511
89.95648,150,2454.089438
90.023777,150,2454.537782
89.95035,150,2454.912023
89.853536,150,2455.291668
89.915643,150,3303.974047
90.142776,150,3304.461359
90.090985,150,3304.939319
90.007264,150,3305.413746
90.084718,150,3305.907035
89.968745,150,3306.400517
89.975362,150,3306.865524
89.993004,150,3307.321399
89.972868,150,3307.781383
90.028651,150,3308.239028
90.052121,150,4166.840767
90.089737,150,4167.416596
90.006766,150,4167.908142
90.02214,150,4168.401478
90.012315,150,4168.926549
90.02454,150,4169.409433
89.974077,150,4169.950871
90.035281,150,4170.446667
89.972284,150,4170.92996
89.940294,150,4171.439831
89.966753,150,5051.676157
89.910604,150,5052.210558
90.000075,150,5052.742914
89.896329,150,5053.378507
90.030245,150,5054.026896
90.008736,150,5054.557559
89.968718,150,5055.078889
90.001937,150,5055.583159
89.953183,150,5056.054997
90.053582,150,5056.548556
89.881174,150,6139.385417
90.010481,150,6139.945433
89.997886,150,6140.467474
90.135823,150,6140.978781
90.04214,150,6141.532045
89.921254,150,6142.175384
90.049379,150,6142.777432
89.999202,150,6143.282206
90.058722,150,6143.868661
89.965553,150,6144.483507
90.018069,150,7223.202279
90.036723,150,7223.706691
89.874344,150,7224.429427
89.975627,150,7225.081707
89.977774,150,7225.54907
89.961764,150,7226.014563
90.014846,150,7226.513616
89.917176,150,7226.974825
90.010897,150,7227.416297
89.954379,150,7227.863259
89.910158,150,8078.351179
90.0107,150,8078.708673
90.023925,150,8079.070339
89.926829,150,8079.437848
90.021066,150,8079.828111
90.122373,150,8080.190333
89.940402,150,8080.556685
90.053699,150,8080.949858
89.926849,150,8081.337233
89.916335,150,8081.731655
90.147107,150,8993.772086
89.986009,150,8994.252677
89.960736,150,8994.73652
90.035094,150,8995.214926
89.918963,150,8995.696605
89.936319,150,8996.17443
90.055696,150,8996.646403
89.971907,150,8997.125144
89.980551,150,8997.594382
89.966989,150,8998.0629
89.996173,150,9888.205801
90.09186,150,9888.743896
90.003295,150,9889.313386
90.019439,150,9889.926681
90.05473,150,9890.483408
90.002731,150,9891.087056
89.863095,150,9891.670614
90.01131,150,9892.199899
90.01731,150,9892.713559
89.952674,150,9893.1672
90.007866,150,10770.972376
90.025696,150,10771.527898
90.014523,150,10772.000278
89.954869,150,10772.499808
89.955234,150,10772.922916
90.126515,150,10773.346313
89.984288,150,10773.8022
90.01784,150,10774.326235
89.997026,150,10774.960812
90.073422,150,10775.417451
89.818608,150,11659.588218
89.976796,150,11659.982169
89.996218,150,11660.482871
90.098332,150,11660.899364
89.939466,150,11661.471493
89.999927,150,11661.958808
89.941002,150,11662.501297
90.022368,150,11663.02992
89.960731,150,11663.538784
90.023149,150,11664.063562
90.002493,150,12536.387778
89.98035,150,12536.770514
90.033109,150,12537.153637
90.04564,150,12537.541595
