ddpg/stats_g/mean,ddpg/stats_g/std,ddpg/stats_o/mean,ddpg/stats_o/std,epoch,test/episode,test/mean_Q,test/success_rate,test/sum_rewards,test/timesteps,time_eval,time_rollout,time_train,time_ve,timesteps,train/actor_loss,train/critic_loss,train/episode,train/success_rate,train/sum_rewards,train/timesteps,ve/loss,ve/stats_g/mean,ve/stats_g/std,ve/stats_o/mean,ve/stats_o/std
36.0887,71.57412,0.037158523,0.13276385,0,10.0,-1.2576728,0.0,79.37051,1500.0,4.910799264907837,19.417677879333496,53.15039324760437,681.8219463825226,7500,-0.38968384,0.050722264,50.0,0.0,84.04465,7500.0,0.049537886,177.9761,2.0619116,0.037558105,0.13301827
35.999023,71.50342,0.03760057,0.13356832,1,20.0,-0.049044125,0.0,72.90072,3000.0,4.172054290771484,21.411391496658325,59.355894565582275,728.9237289428711,15000,-0.5697828,0.055836387,100.0,0.0,81.31068,15000.0,0.01633647,177.98805,1.4536005,0.037440006,0.13632405
36.224266,71.66803,0.036225848,0.13886918,2,30.0,-1.0059912,0.0,87.40865,4500.0,4.035335063934326,20.695330381393433,58.489237785339355,736.7002415657043,22500,-0.4706977,0.07096439,150.0,0.0,88.960625,22500.0,0.026173158,177.99203,1.1770122,0.03610561,0.14058413
36.175858,71.631165,0.037260134,0.13778007,3,40.0,-1.4843303,0.0,77.03801,6000.0,4.654373407363892,20.41033959388733,59.501089096069336,737.8225383758545,30000,-0.40222052,0.06405587,200.0,0.0,86.502716,30000.0,0.03460727,177.99402,1.0024148,0.037096012,0.13887094
36.291157,71.714096,0.03816658,0.13664767,4,50.0,-0.055213124,0.0,80.89998,7500.0,4.4908740520477295,21.046716690063477,58.35730171203613,738.7155997753143,37500,-0.37121543,0.061633233,250.0,0.0,89.32395,37500.0,0.037844762,177.99522,0.86767054,0.038026508,0.13738613
36.243965,71.678856,0.03812944,0.1348914,5,60.0,-0.36594972,0.0,74.620224,9000.0,4.434433698654175,21.797504663467407,60.04503011703491,750.5065777301788,45000,-0.34486675,0.06963086,300.0,0.0,83.88818,45000.0,0.045939367,177.99602,0.7673726,0.03786253,0.13564357
36.080715,71.55784,0.038193677,0.1336569,6,70.0,-0.17105134,0.0,81.11715,10500.0,6.030599594116211,27.411393404006958,75.66377377510071,927.1388471126556,52500,-0.3024242,0.06039022,350.0,0.0,84.49239,52500.0,0.049571604,177.99658,0.7067763,0.037974,0.13446929
35.973083,71.47784,0.037688654,0.1343749,7,80.0,-1.1640164,0.0,81.75868,12000.0,5.777423858642578,26.989247798919678,75.23475861549377,948.500497341156,60000,-0.28682938,0.059209183,400.0,0.0,86.77541,60000.0,0.060959827,177.99701,0.6599581,0.03756904,0.13503358
35.97932,71.482635,0.037749596,0.13643654,8,90.0,-2.4402623,0.0,92.79276,13500.0,4.963481426239014,23.38400673866272,65.28191018104553,791.4114873409271,67500,-0.2845959,0.071288176,450.0,0.0,88.314804,67500.0,0.080249146,177.99734,0.61229694,0.037613504,0.13652892
35.989677,71.489716,0.0375621,0.13704306,9,100.0,-0.29022658,0.0,91.22162,15000.0,4.5817999839782715,22.4251766204834,64.93943786621094,755.3624382019043,75000,-0.29425564,0.08971981,500.0,0.0,87.73301,75000.0,0.0957208,177.99762,0.5752461,0.037498984,0.13702404
36.013042,71.50693,0.037103858,0.13802569,10,110.0,-1.5520047,0.0,76.56155,16500.0,5.016796588897705,23.31523847579956,66.67686128616333,815.9741609096527,82500,-0.29724517,0.09558698,550.0,0.0,89.06089,82500.0,0.100416936,177.99783,0.5410914,0.037104648,0.1376461
36.11806,71.58463,0.036773242,0.13856219,11,120.0,-2.1610663,0.0,97.17363,18000.0,4.652928113937378,23.772698163986206,66.24781537055969,801.8251326084137,90000,-0.2960991,0.104530014,600.0,0.0,89.498634,90000.0,0.117704526,177.99802,0.5027853,0.036656313,0.13832685
36.12233,71.58786,0.03702584,0.13881588,12,130.0,-1.0931388,0.0,105.594215,19500.0,5.22601318359375,22.325907945632935,64.18627548217773,798.1582214832306,97500,-0.3070297,0.117436476,650.0,0.0,90.60489,97500.0,0.1421168,177.99817,0.44059438,0.03696716,0.13885735
36.10895,71.57799,0.037457757,0.13995634,13,140.0,-0.52271926,0.0,85.64172,21000.0,4.259805202484131,23.089902877807617,65.86787986755371,802.3583428859711,105000,-0.3284564,0.117019214,700.0,0.0,89.54856,105000.0,0.17581835,177.99829,0.38079262,0.037459154,0.13988777
35.981384,71.48319,0.03787395,0.1403348,14,150.0,-0.37112975,0.0,89.17438,22500.0,4.370053768157959,20.591423988342285,58.28052496910095,714.0314290523529,112500,-0.3358302,0.145844,750.0,0.0,89.5447,112500.0,0.19929288,177.99841,0.37941962,0.037800398,0.1402301
35.90977,71.43009,0.037435684,0.14094946,15,160.0,-0.536298,0.0,90.05974,24000.0,4.125108242034912,21.137458562850952,60.214308738708496,740.6333322525024,120000,-0.34035516,0.12697329,800.0,0.0,92.040634,120000.0,0.22811025,177.9985,0.40493143,0.03743222,0.14088325
35.98587,71.486465,0.03750096,0.14157043,16,170.0,-0.67609537,0.0,105.17922,25500.0,3.662724256515503,19.543327808380127,58.23830556869507,725.422333240509,127500,-0.32749265,0.12964675,850.0,0.0,91.82398,127500.0,0.2690358,177.9986,0.4117924,0.03744254,0.14139697
35.93802,71.45087,0.03704143,0.14259215,17,180.0,-0.23782945,0.0,94.75876,27000.0,4.394567012786865,20.072394371032715,57.560853481292725,732.2337920665741,135000,-0.33037522,0.15134439,900.0,0.0,96.21972,135000.0,0.31976733,177.99867,0.41042745,0.037050836,0.14243768
35.92399,71.44053,0.03690067,0.14363043,18,190.0,-0.841942,0.0,79.57239,28500.0,3.930253028869629,19.671239852905273,59.47719597816467,750.530298948288,142500,-0.32530496,0.15449719,950.0,0.0,95.46086,142500.0,0.36995548,177.99875,0.40010804,0.03684775,0.14351107
35.869476,71.40018,0.03667574,0.14392172,19,200.0,-0.22792816,0.0,86.46864,30000.0,4.5149827003479,20.386284112930298,58.604511737823486,737.7004051208496,150000,-0.3320774,0.14883064,1000.0,0.0,90.84264,150000.0,0.40015787,177.99881,0.38034987,0.036666926,0.14399658
35.866936,71.398285,0.036413226,0.14381322,20,210.0,-0.90449715,0.0,85.821915,31500.0,4.8544840812683105,21.246988773345947,59.6105432510376,757.3174288272858,157500,-0.3299548,0.15137252,1050.0,0.0,87.18471,157500.0,0.4338415,177.99887,0.3357189,0.036407642,0.14381242
35.872154,71.402245,0.03615565,0.14366697,21,220.0,-0.7666683,0.0,77.55514,33000.0,3.8033552169799805,21.267033576965332,59.93515348434448,767.7133541107178,165000,-0.33731377,0.15062653,1100.0,0.0,89.33489,165000.0,0.4755663,177.99892,0.3501675,0.03612188,0.14383475
35.7855,71.337776,0.03614949,0.14347294,22,230.0,-0.27372468,0.0,87.201866,34500.0,4.236357688903809,21.06183886528015,58.7961790561676,740.5954649448395,172500,-0.3499163,0.15871194,1150.0,0.0,85.50317,172500.0,0.53366804,177.99896,0.3626726,0.036092956,0.14369157
35.85556,71.38985,0.036194343,0.14300226,23,240.0,-0.7089648,0.0,84.83626,36000.0,3.7851688861846924,19.951055765151978,59.067293882369995,753.7228779792786,180000,-0.33949184,0.1621168,1200.0,0.0,86.745476,180000.0,0.59137475,177.99901,0.37343207,0.036138766,0.14324687
35.87304,71.40292,0.036094368,0.14347686,24,250.0,-0.41619545,0.0,82.26497,37500.0,6.123181343078613,23.38530683517456,66.28766465187073,833.4379851818085,187500,-0.32974038,0.15798499,1250.0,0.0,92.37724,187500.0,0.6549283,177.99905,0.38259518,0.036034923,0.14366119
35.82653,71.36856,0.036350347,0.14348152,25,260.0,-0.4176035,0.0,87.86399,39000.0,5.201318264007568,25.237305879592896,72.32001876831055,888.2723429203033,195000,-0.32753584,0.15311201,1300.0,0.0,88.888504,195000.0,0.6907531,177.99908,0.3928023,0.036333185,0.14365305
35.842,71.38016,0.03646956,0.14393885,26,270.0,-2.73052,0.0,87.536255,40500.0,5.06266975402832,25.00609540939331,68.72733640670776,865.9441981315613,202500,-0.3387986,0.1695429,1350.0,0.0,89.40185,202500.0,0.7483331,177.99911,0.40151805,0.036471065,0.14392647
35.844414,71.38204,0.03677416,0.14456317,27,280.0,-1.12889,0.0,93.84626,42000.0,5.240464925765991,24.73916482925415,67.91282367706299,874.2252535820007,210000,-0.32949632,0.17876697,1400.0,0.0,96.18505,210000.0,0.7603319,177.99915,0.4076281,0.036773868,0.14459233
35.819534,71.36351,0.03713092,0.14500387,28,290.0,-0.54750395,0.0,91.6419,43500.0,5.911745309829712,22.28121018409729,64.29052591323853,797.6853542327881,217500,-0.33108297,0.1700024,1450.0,0.0,97.24427,217500.0,0.77075624,177.99918,0.41004628,0.037156668,0.14509232
35.763573,71.32188,0.037159447,0.14512706,29,300.0,-1.1189696,0.0,88.26048,45000.0,4.328354358673096,20.89025354385376,59.75073504447937,747.164140701294,225000,-0.33439896,0.17466721,1500.0,0.0,95.77431,225000.0,0.8050668,177.9992,0.38,0.03717492,0.14529838
35.790546,71.34216,0.037284285,0.14540105,30,310.0,-1.40955,0.0,86.45947,46500.0,4.560899257659912,22.422810077667236,63.7301812171936,831.9787368774414,232500,-0.33623394,0.17772797,1550.0,0.0,93.20658,232500.0,0.86479276,177.99924,0.34875,0.03727245,0.14557116
